Zeit(ms),Spannung(V)
0,0.16
0,0.17
1,0.18
2,0.18
2,0.19
3,0.20
5,0.22
13,0.31
22,0.41
31,0.50
40,0.60
50,0.68
60,0.77
69,0.86
78,0.94
88,1.03
97,1.11
106,1.19
116,1.28
128,1.36
138,1.44
148,1.52
158,1.60
168,1.68
179,1.75
190,1.82
200,1.89
210,1.96
221,2.03
231,2.09
241,2.16
251,2.22
263,2.28
273,2.35
283,2.40
293,2.46
304,2.51
314,2.57
325,2.62
335,2.67
346,2.72
356,2.78
366,2.83
376,2.88
387,2.91
398,2.96
408,3.01
418,3.04
429,3.10
439,3.13
449,3.18
460,3.23
471,3.26
481,3.29
491,3.33
501,3.36
512,3.40
523,3.43
533,3.47
543,3.51
553,3.53
564,3.57
574,3.59
584,3.62
595,3.66
606,3.69
616,3.71
626,3.74
636,3.76
647,3.80
658,3.82
668,3.84
678,3.87
689,3.89
699,3.92
709,3.94
719,3.96
731,3.98
741,4.01
751,4.04
761,4.05
772,4.08
782,4.09
793,4.11
803,4.13
814,4.14
824,4.15
834,4.17
844,4.19
856,4.21
866,4.23
876,4.25
886,4.26
897,4.27
907,4.29
917,4.30
928,4.32
939,4.33
949,4.35
959,4.35
969,4.37
979,4.38
991,4.40
1001,4.40
1012,4.42
1024,4.43
1035,4.46
1046,4.46
1058,4.47
1070,4.50
1081,4.50
1092,4.51
1103,4.52
1115,4.53
1127,4.54
1138,4.57
1149,4.57
1161,4.57
1172,4.59
1183,4.58
1196,4.60
1207,4.61
1218,4.61
1229,4.62
1241,4.63
1252,4.64
1264,4.64
1275,4.65
1287,4.66
1298,4.67
1309,4.69
1321,4.68
1333,4.69
1344,4.71
1355,4.70
1367,4.71
1378,4.72
1390,4.73
1401,4.73
1413,4.74
1424,4.74
1435,4.74
1446,4.75
1459,4.76
1470,4.77
1481,4.77
1492,4.78
1504,4.77
1515,4.78
1527,4.80
1539,4.78
1550,4.79
1561,4.80
1572,4.81
1584,4.80
1596,4.80
1607,4.81
1618,4.82
1630,4.82
1641,4.83
1653,4.83
1665,4.83
1676,4.85
1687,4.84
1698,4.86
1710,4.86
1722,4.85
1733,4.85
1744,4.86
1756,4.86
1767,4.88
1778,4.87
1790,4.87
1802,4.88
1813,4.88
1824,4.88
1836,4.89
1847,4.89
1859,4.89
1870,4.89
1882,4.89
1893,4.89
1904,4.89
1915,4.89
1928,4.90
1939,4.90
1950,4.90
1961,4.90
1973,4.90
1984,4.90
1996,4.90
2008,4.91
2019,4.90
2030,4.91
2041,4.90
2054,4.90
2065,4.90
2076,4.92
2087,4.91
2099,4.92
2110,4.91
2122,4.91
2134,4.92
2145,4.92
2156,4.92
2167,4.92
2179,4.93
2191,4.92
2202,4.92
2213,4.93
2225,4.93
2236,4.93
2247,4.93
2259,4.93
2271,4.93
2282,4.93
2293,4.94
2305,4.94
2316,4.95
2328,4.94
2339,4.94
2351,4.96
2362,4.94
2373,4.94
2385,4.94
2397,4.94
2408,4.94
2419,4.95
2430,4.94
2442,4.95
2454,4.94
2465,4.95
2477,4.95
2488,4.95
2499,4.95
2510,4.95
2523,4.96
2534,4.95
2545,4.96
2556,4.95
2568,4.95
2579,4.96
2591,4.96
2603,4.95
2614,4.96
2625,4.97
2636,4.97
2648,4.96
2660,4.97
2671,4.96
2682,4.96
2694,4.97
2705,4.97
2716,4.96
2728,4.97
2740,4.96
2751,4.97
2762,4.98
2774,4.96
2786,4.96
2797,4.96
2808,4.97
2820,4.97
2831,4.97
2842,4.96
2854,4.97
2866,4.98
2877,4.97
2888,4.97
2899,4.97
2911,4.97
2923,4.97
2934,4.98
2946,4.97
2957,4.97
2968,4.97
2979,4.97
2992,4.97
3003,4.97
3014,4.97
3025,4.98
3037,4.98
3048,4.98
3060,4.97
3072,4.97
3083,4.97
3094,4.98
